run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.68,,
2,1.69,1.69,,
3,1.69,1.68,1.69,1.68
4,1.69,1.68,1.69,1.68
5,1.69,1.7,1.69,1.69
6,1.69,1.68,1.69,1.69
7,1.69,1.68,1.69,1.69
8,1.69,1.68,1.69,1.68
9,1.69,1.68,1.69,1.68
10,1.69,1.69,1.69,1.68
11,1.69,1.69,1.69,1.69
12,1.69,1.69,1.69,1.69
13,1.69,1.68,1.69,1.69
14,1.69,1.69,1.69,1.69
15,1.69,1.68,1.69,1.68
16,1.69,1.68,1.69,1.68
17,1.69,1.68,1.69,1.68
18,1.69,1.67,1.69,1.68
19,1.69,1.68,1.69,1.68
20,1.69,1.68,1.69,1.68
21,1.69,1.68,1.69,1.68
22,1.69,1.68,1.69,1.68
23,1.69,1.68,1.69,1.68
24,1.69,1.68,1.69,1.68
25,1.69,1.69,1.69,1.68
26,1.69,1.69,1.69,1.69
27,1.69,1.68,1.69,1.69
28,1.69,1.69,1.69,1.69
29,1.69,1.68,1.69,1.68
30,1.69,1.69,1.69,1.69
31,1.69,1.68,1.69,1.68
32,1.69,1.68,1.69,1.68
33,1.69,1.69,1.69,1.68
34,1.69,1.68,1.69,1.68
35,1.69,1.69,1.69,1.69
36,1.69,1.69,1.69,1.69
37,1.69,1.69,1.69,1.69
38,1.69,1.69,1.69,1.69
39,1.69,1.68,1.69,1.69
40,1.69,1.68,1.69,1.68
41,1.69,1.68,1.69,1.68
42,1.69,1.68,1.69,1.68
43,1.69,1.68,1.69,1.68
44,1.69,1.69,1.69,1.68
45,1.69,1.69,1.69,1.69
46,1.69,1.69,1.69,1.69
47,1.69,1.68,1.69,1.69
48,1.69,1.69,1.69,1.69
49,1.69,1.68,1.69,1.68
50,1.69,1.69,1.69,1.69
