run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.13,,
2,1.14,1.13,,
3,1.12,1.12,1.13,1.13
4,1.13,1.12,1.13,1.12
5,1.13,1.13,1.13,1.12
6,1.11,1.12,1.12,1.12
7,1.12,1.13,1.12,1.13
8,1.12,1.11,1.12,1.12
9,1.13,1.12,1.12,1.12
10,1.12,1.12,1.12,1.12
11,1.12,1.13,1.12,1.12
12,1.11,1.13,1.12,1.13
13,1.13,1.13,1.12,1.13
14,1.13,1.12,1.12,1.13
15,1.12,1.12,1.13,1.12
16,1.12,1.12,1.12,1.12
17,1.12,1.12,1.12,1.12
18,1.14,1.12,1.13,1.12
19,1.13,1.12,1.13,1.12
20,1.12,1.13,1.13,1.12
21,1.12,1.12,1.12,1.12
22,1.13,1.12,1.12,1.12
23,1.11,1.13,1.12,1.12
24,1.13,1.12,1.12,1.12
25,1.12,1.12,1.12,1.12
26,1.13,1.12,1.13,1.12
27,1.12,1.13,1.12,1.12
28,1.13,1.11,1.13,1.12
29,1.13,1.12,1.13,1.12
30,1.13,1.12,1.13,1.12
31,1.12,1.12,1.13,1.12
32,1.13,1.12,1.13,1.12
33,1.13,1.12,1.13,1.12
34,1.12,1.12,1.13,1.12
35,1.14,1.12,1.13,1.12
36,1.12,1.13,1.13,1.12
37,1.13,1.13,1.13,1.13
38,1.13,1.14,1.13,1.13
39,1.12,1.11,1.13,1.13
40,1.12,1.13,1.12,1.13
41,1.12,1.12,1.12,1.12
42,1.12,1.12,1.12,1.12
43,1.12,1.14,1.12,1.13
44,1.13,1.12,1.12,1.13
45,1.13,1.12,1.13,1.13
46,1.12,1.13,1.13,1.12
47,1.12,1.13,1.12,1.13
48,1.12,1.13,1.12,1.13
49,1.12,1.13,1.12,1.13
50,1.13,1.13,1.12,1.13
