run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.12,,
2,1.12,1.13,,
3,1.12,1.12,1.12,1.12
4,1.12,1.13,1.12,1.13
5,1.13,1.13,1.12,1.13
6,1.12,1.12,1.12,1.13
7,1.12,1.12,1.12,1.12
8,1.11,1.12,1.12,1.12
9,1.12,1.12,1.12,1.12
10,1.12,1.11,1.12,1.12
11,1.13,1.12,1.12,1.12
12,1.12,1.12,1.12,1.12
13,1.11,1.11,1.12,1.12
14,1.12,1.13,1.12,1.12
15,1.11,1.13,1.11,1.12
16,1.11,1.13,1.11,1.13
17,1.12,1.11,1.11,1.12
18,1.12,1.12,1.12,1.12
19,1.12,1.11,1.12,1.11
20,1.11,1.11,1.12,1.11
21,1.13,1.13,1.12,1.12
22,1.12,1.13,1.12,1.12
23,1.13,1.12,1.13,1.13
24,1.13,1.12,1.13,1.12
25,1.12,1.12,1.13,1.12
26,1.13,1.12,1.13,1.12
27,1.13,1.13,1.13,1.12
28,1.13,1.12,1.13,1.12
29,1.12,1.13,1.13,1.13
30,1.13,1.12,1.13,1.12
31,1.13,1.12,1.13,1.12
32,1.12,1.13,1.13,1.12
33,1.11,1.12,1.12,1.12
34,1.12,1.12,1.12,1.12
35,1.12,1.12,1.12,1.12
36,1.12,1.13,1.12,1.12
37,1.13,1.13,1.12,1.13
38,1.12,1.11,1.12,1.12
39,1.12,1.11,1.12,1.12
40,1.11,1.12,1.12,1.11
41,1.13,1.12,1.12,1.12
42,1.13,1.12,1.12,1.12
43,1.13,1.12,1.13,1.12
44,1.12,1.12,1.13,1.12
45,1.13,1.13,1.13,1.12
46,1.12,1.12,1.12,1.12
47,1.13,1.13,1.13,1.13
48,1.12,1.12,1.12,1.12
49,1.12,1.13,1.12,1.13
50,1.11,1.13,1.12,1.13
