run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.69,,
2,1.69,1.69,,
3,1.69,1.68,1.69,1.69
4,1.69,1.68,1.69,1.68
5,1.69,1.68,1.69,1.68
6,1.69,1.68,1.69,1.68
7,1.69,1.68,1.69,1.68
8,1.69,1.69,1.69,1.68
9,1.69,1.68,1.69,1.68
10,1.69,1.69,1.69,1.69
11,1.69,1.68,1.69,1.68
12,1.69,1.68,1.69,1.68
13,1.69,1.69,1.69,1.68
14,1.69,1.68,1.69,1.68
15,1.69,1.68,1.69,1.68
16,1.69,1.68,1.69,1.68
17,1.69,1.69,1.69,1.68
18,1.69,1.68,1.69,1.68
19,1.69,1.69,1.69,1.69
20,1.69,1.69,1.69,1.69
21,1.69,1.68,1.69,1.69
22,1.69,1.69,1.69,1.69
23,1.69,1.69,1.69,1.69
24,1.69,1.69,1.69,1.69
25,1.69,1.69,1.69,1.69
26,1.69,1.68,1.69,1.69
27,1.69,1.69,1.69,1.69
28,1.69,1.68,1.69,1.68
29,1.69,1.69,1.69,1.69
30,1.69,1.68,1.69,1.68
31,1.69,1.69,1.69,1.69
32,1.69,1.69,1.69,1.69
33,1.69,1.69,1.69,1.69
34,1.69,1.68,1.69,1.69
35,1.69,1.68,1.69,1.68
36,1.69,1.68,1.69,1.68
37,1.69,1.69,1.69,1.68
38,1.69,1.69,1.69,1.69
39,1.69,1.69,1.69,1.69
40,1.69,1.68,1.69,1.69
41,1.69,1.69,1.69,1.69
42,1.69,1.68,1.69,1.68
43,1.69,1.69,1.69,1.69
44,1.69,1.69,1.69,1.69
45,1.69,1.68,1.69,1.69
46,1.69,1.68,1.69,1.68
47,1.69,1.68,1.69,1.68
48,1.69,1.69,1.69,1.68
49,1.69,1.69,1.69,1.69
50,1.69,1.69,1.69,1.69
