run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.12,,
2,1.14,1.14,,
3,1.14,1.13,1.14,1.13
4,1.14,1.13,1.14,1.13
5,1.14,1.14,1.14,1.13
6,1.14,1.14,1.14,1.14
7,1.14,1.13,1.14,1.14
8,1.14,1.12,1.14,1.13
9,1.14,1.13,1.14,1.13
10,1.14,1.13,1.14,1.13
11,1.14,1.14,1.14,1.13
12,1.14,1.14,1.14,1.14
13,1.14,1.13,1.14,1.14
14,1.14,1.13,1.14,1.13
15,1.14,1.13,1.14,1.13
16,1.14,1.14,1.14,1.13
17,1.14,1.12,1.14,1.13
18,1.14,1.14,1.14,1.13
19,1.14,1.13,1.14,1.13
20,1.14,1.12,1.14,1.13
21,1.14,1.13,1.14,1.13
22,1.14,1.14,1.14,1.13
23,1.14,1.13,1.14,1.13
24,1.14,1.13,1.14,1.13
25,1.14,1.14,1.14,1.13
26,1.14,1.12,1.14,1.13
27,1.14,1.14,1.14,1.13
28,1.14,1.13,1.14,1.13
29,1.14,1.14,1.14,1.14
30,1.14,1.14,1.14,1.14
31,1.14,1.13,1.14,1.14
32,1.14,1.14,1.14,1.14
33,1.14,1.13,1.14,1.13
34,1.14,1.13,1.14,1.13
35,1.14,1.13,1.14,1.13
36,1.14,1.13,1.14,1.13
37,1.14,1.13,1.14,1.13
38,1.14,1.14,1.14,1.13
39,1.14,1.14,1.14,1.14
40,1.14,1.13,1.14,1.14
41,1.14,1.14,1.14,1.14
42,1.14,1.13,1.14,1.13
43,1.14,1.13,1.14,1.13
44,1.14,1.13,1.14,1.13
45,1.14,1.13,1.14,1.13
46,1.14,1.14,1.14,1.13
47,1.14,1.14,1.14,1.14
48,1.14,1.13,1.14,1.14
49,1.14,1.14,1.14,1.14
50,1.14,1.14,1.14,1.14
