run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.7,,
2,1.7,1.7,,
3,1.71,1.7,1.7,1.7
4,1.7,1.7,1.7,1.7
5,1.7,1.7,1.7,1.7
6,1.7,1.71,1.7,1.7
7,1.7,1.71,1.7,1.71
8,1.7,1.7,1.7,1.71
9,1.71,1.7,1.7,1.7
10,1.7,1.71,1.7,1.7
11,1.7,1.69,1.7,1.7
12,1.71,1.71,1.7,1.7
13,1.71,1.7,1.71,1.7
14,1.7,1.7,1.71,1.7
15,1.71,1.71,1.71,1.7
16,1.71,1.7,1.71,1.7
17,1.71,1.7,1.71,1.7
18,1.69,1.7,1.7,1.7
19,1.7,1.7,1.7,1.7
20,1.69,1.71,1.69,1.7
21,1.7,1.71,1.7,1.71
22,1.71,1.7,1.7,1.71
23,1.7,1.69,1.7,1.7
24,1.7,1.71,1.7,1.7
25,1.71,1.7,1.7,1.7
26,1.7,1.72,1.7,1.71
27,1.7,1.71,1.7,1.71
28,1.71,1.7,1.7,1.71
29,1.71,1.71,1.71,1.71
30,1.69,1.7,1.7,1.7
31,1.7,1.71,1.7,1.71
32,1.71,1.71,1.7,1.71
33,1.7,1.7,1.7,1.71
34,1.7,1.71,1.7,1.71
35,1.7,1.69,1.7,1.7
36,1.71,1.69,1.7,1.7
37,1.71,1.7,1.71,1.69
38,1.69,1.71,1.7,1.7
39,1.69,1.71,1.7,1.71
40,1.7,1.7,1.69,1.71
41,1.7,1.7,1.7,1.7
42,1.7,1.69,1.7,1.7
43,1.7,1.7,1.7,1.7
44,1.7,1.71,1.7,1.7
45,1.71,1.71,1.7,1.71
46,1.71,1.7,1.71,1.71
47,1.7,1.7,1.71,1.7
48,1.71,1.7,1.71,1.7
49,1.69,1.71,1.7,1.7
50,1.71,1.72,1.7,1.71
