run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.13,,
2,1.14,1.14,,
3,1.14,1.13,1.14,1.13
4,1.14,1.12,1.14,1.13
5,1.14,1.12,1.14,1.12
6,1.14,1.13,1.14,1.12
7,1.14,1.13,1.14,1.13
8,1.14,1.12,1.14,1.13
9,1.14,1.12,1.14,1.12
10,1.14,1.13,1.14,1.12
11,1.14,1.13,1.14,1.13
12,1.14,1.13,1.14,1.13
13,1.14,1.12,1.14,1.13
14,1.14,1.13,1.14,1.13
15,1.14,1.12,1.14,1.12
16,1.14,1.13,1.14,1.13
17,1.14,1.13,1.14,1.13
18,1.14,1.12,1.14,1.13
19,1.14,1.12,1.14,1.12
20,1.14,1.13,1.14,1.12
21,1.14,1.12,1.14,1.12
22,1.14,1.13,1.14,1.13
23,1.14,1.12,1.14,1.12
24,1.14,1.13,1.14,1.13
25,1.14,1.14,1.14,1.13
26,1.14,1.12,1.14,1.13
27,1.14,1.13,1.14,1.13
28,1.14,1.14,1.14,1.13
29,1.14,1.12,1.14,1.13
30,1.14,1.13,1.14,1.13
31,1.14,1.12,1.14,1.12
32,1.14,1.13,1.14,1.13
33,1.14,1.13,1.14,1.13
34,1.14,1.12,1.14,1.13
35,1.14,1.12,1.14,1.12
36,1.14,1.12,1.14,1.12
37,1.14,1.13,1.14,1.12
38,1.14,1.12,1.14,1.12
39,1.14,1.12,1.14,1.12
40,1.14,1.13,1.14,1.12
41,1.14,1.12,1.14,1.12
42,1.14,1.13,1.14,1.13
43,1.14,1.13,1.14,1.13
44,1.14,1.13,1.14,1.13
45,1.14,1.12,1.14,1.13
46,1.14,1.13,1.14,1.13
47,1.14,1.13,1.14,1.13
48,1.14,1.13,1.14,1.13
49,1.14,1.13,1.14,1.13
50,1.14,1.13,1.14,1.13
