run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.68,1.69,,
2,1.68,1.7,,
3,1.69,1.7,1.68,1.7
4,1.67,1.69,1.68,1.7
5,1.68,1.68,1.68,1.69
6,1.68,1.69,1.68,1.69
7,1.68,1.7,1.68,1.69
8,1.67,1.69,1.68,1.69
9,1.68,1.68,1.68,1.69
10,1.67,1.69,1.67,1.69
11,1.66,1.69,1.67,1.69
12,1.69,1.69,1.67,1.69
13,1.67,1.7,1.67,1.69
14,1.68,1.68,1.68,1.69
15,1.7,1.69,1.68,1.69
16,1.68,1.69,1.69,1.69
17,1.68,1.69,1.69,1.69
18,1.68,1.69,1.68,1.69
19,1.69,1.69,1.68,1.69
20,1.68,1.7,1.68,1.69
21,1.68,1.69,1.68,1.69
22,1.68,1.7,1.68,1.7
23,1.68,1.7,1.68,1.7
24,1.67,1.69,1.68,1.7
25,1.69,1.69,1.68,1.69
26,1.68,1.68,1.68,1.69
27,1.66,1.7,1.68,1.69
28,1.69,1.69,1.68,1.69
29,1.69,1.68,1.68,1.69
30,1.69,1.7,1.69,1.69
31,1.67,1.69,1.68,1.69
32,1.68,1.69,1.68,1.69
33,1.67,1.7,1.67,1.69
34,1.69,1.69,1.68,1.69
35,1.67,1.68,1.68,1.69
36,1.68,1.69,1.68,1.69
37,1.69,1.7,1.68,1.69
38,1.66,1.69,1.68,1.69
39,1.7,1.71,1.68,1.7
40,1.69,1.7,1.68,1.7
41,1.68,1.7,1.69,1.7
42,1.68,1.69,1.68,1.7
43,1.67,1.7,1.68,1.7
44,1.68,1.69,1.68,1.69
45,1.69,1.7,1.68,1.7
46,1.69,1.7,1.69,1.7
47,1.68,1.69,1.69,1.7
48,1.68,1.7,1.68,1.7
49,1.66,1.69,1.67,1.69
50,1.68,1.69,1.67,1.69
