run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.12,1.12,,
2,1.14,1.12,,
3,1.12,1.12,1.13,1.12
4,1.13,1.13,1.13,1.12
5,1.13,1.13,1.13,1.13
6,1.14,1.13,1.13,1.13
7,1.13,1.13,1.13,1.13
8,1.12,1.13,1.13,1.13
9,1.13,1.12,1.13,1.13
10,1.12,1.13,1.12,1.13
11,1.12,1.13,1.12,1.13
12,1.14,1.13,1.13,1.13
13,1.13,1.13,1.13,1.13
14,1.12,1.12,1.13,1.13
15,1.14,1.13,1.13,1.13
16,1.12,1.11,1.13,1.12
17,1.13,1.12,1.13,1.12
18,1.12,1.13,1.12,1.12
19,1.13,1.13,1.13,1.13
20,1.12,1.13,1.12,1.13
21,1.12,1.14,1.12,1.13
22,1.13,1.12,1.12,1.13
23,1.12,1.12,1.12,1.13
24,1.12,1.13,1.12,1.12
25,1.12,1.13,1.12,1.13
26,1.11,1.13,1.12,1.13
27,1.12,1.13,1.12,1.13
28,1.14,1.13,1.12,1.13
29,1.13,1.13,1.13,1.13
30,1.13,1.13,1.13,1.13
31,1.13,1.12,1.13,1.13
32,1.14,1.12,1.13,1.12
33,1.13,1.12,1.13,1.12
34,1.13,1.13,1.13,1.12
35,1.13,1.13,1.13,1.13
36,1.12,1.13,1.13,1.13
37,1.13,1.13,1.13,1.13
38,1.13,1.13,1.13,1.13
39,1.12,1.14,1.13,1.13
40,1.14,1.13,1.13,1.13
41,1.13,1.13,1.13,1.13
42,1.12,1.14,1.13,1.13
43,1.12,1.13,1.12,1.13
44,1.13,1.13,1.12,1.13
45,1.12,1.13,1.12,1.13
46,1.13,1.13,1.13,1.13
47,1.13,1.12,1.13,1.13
48,1.11,1.14,1.12,1.13
49,1.12,1.12,1.12,1.13
50,1.13,1.12,1.12,1.13
