run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.47,0.47,,
2,0.46,0.47,,
3,0.47,0.47,0.47,0.47
4,0.47,0.47,0.47,0.47
5,0.47,0.47,0.47,0.47
6,0.46,0.46,0.47,0.47
7,0.47,0.46,0.47,0.46
8,0.47,0.46,0.47,0.46
9,0.46,0.47,0.47,0.46
10,0.47,0.47,0.47,0.47
11,0.47,0.47,0.47,0.47
12,0.47,0.46,0.47,0.47
13,0.47,0.47,0.47,0.47
14,0.47,0.47,0.47,0.47
15,0.46,0.46,0.47,0.47
16,0.47,0.47,0.47,0.47
17,0.46,0.47,0.46,0.47
18,0.46,0.47,0.46,0.47
19,0.47,0.47,0.46,0.47
20,0.46,0.47,0.46,0.47
21,0.46,0.47,0.46,0.47
22,0.47,0.47,0.46,0.47
23,0.47,0.47,0.47,0.47
24,0.47,0.47,0.47,0.47
25,0.47,0.47,0.47,0.47
26,0.46,0.47,0.47,0.47
27,0.47,0.47,0.47,0.47
28,0.46,0.46,0.46,0.47
29,0.47,0.47,0.47,0.47
30,0.47,0.46,0.47,0.46
31,0.47,0.47,0.47,0.47
32,0.47,0.47,0.47,0.47
33,0.46,0.47,0.47,0.47
34,0.46,0.46,0.46,0.47
35,0.47,0.47,0.46,0.47
36,0.47,0.47,0.47,0.47
37,0.46,0.47,0.47,0.47
38,0.47,0.47,0.47,0.47
39,0.47,0.47,0.47,0.47
40,0.47,0.47,0.47,0.47
41,0.47,0.47,0.47,0.47
42,0.47,0.47,0.47,0.47
43,0.46,0.47,0.47,0.47
44,0.47,0.47,0.47,0.47
45,0.47,0.46,0.47,0.47
46,0.47,0.47,0.47,0.47
47,0.47,0.47,0.47,0.47
48,0.47,0.47,0.47,0.47
49,0.47,0.47,0.47,0.47
50,0.47,0.46,0.47,0.47
